Rank,in App,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Previous in App,Match Status,Matched App Name,Possible Issue
83,1,Abby Phillip,CNN,Cable TV,"2,520,634",,1,Exact app match,Abby Phillip,
84,,Amna Nawaz,PBS,Broadcast TV,"2,484,696",Liberal,,Not in app,,
85,,Maria Bartiromo,FOX,Cable TV,"2,446,660",Conservative,,Not in app,,
86,1,Lawrence O'Donnell,MS NOW,Cable TV,"2,342,185",,1,Exact app match,Lawrence O'Donnell,
87,,Neil Cavuto,FOX,Cable TV,"2,289,163",Conservative,,Not in app,,
88,1,Erin Burnett,CNN,Cable TV,"2,263,487",Liberal,1,Exact app match,Erin Burnett,
89,,Mehdi Hasan,ZETEO,Digital Video,"2,237,811",Very Liberal,,Not in app,,
90,1,Joe Scarborough,MS NOW,Cable TV,"2,212,136",Liberal,1,Exact app match,Joe Scarborough,
91,1,Mika Brzezinski,MS NOW,Cable TV,"2,186,460",Liberal,1,Exact app match,Mika Brzezinski,
92,1,Kayleigh McEnany,FOX,Cable TV,"2,160,784",Very Conservative,1,Exact app match,Kayleigh McEnany,
93,,John Berman,CNN,Cable TV,"2,135,108",Liberal,,Not in app,,
94,1,Rachel Maddow,MS NOW,Cable TV,"2,109,432",Very Liberal,1,Exact app match,Rachel Maddow,
95,1,Sarah Isgur,The Dispatch,Podcast,"2,083,756",Conservative,1,Exact app match,Sarah Isgur,
96,,Laura Ingle,NEWSNATION,Cable TV,"2,058,081",Conservative,,Not in app,,
97,1,David French,NYT,Print,"2,032,405",Conservative,1,Exact app match,David French,
98,1,Benny Johnson,YOUTUBE,Podcast,"2,006,729",Very Conservative,1,Exact app match,Benny Johnson,
99,,Fareed Zakaria,CNN,Cable TV,"1,981,053",Liberal,,Not in app,,
100,,Jonathan Karl,ABC,Broadcast TV,"1,955,377",Liberal,,Not in app,,
101,,Markie Martin,NEWSNATION,Cable TV,"1,929,701",Liberal,,Not in app,,
102,1,Nicolle Wallace,MS NOW,Cable TV,"1,262,130",Very Liberal,1,Exact app match,Nicolle Wallace,
103,,Victor Blackwell,CNN,Cable TV,"1,878,350",Liberal,,Not in app,,
104,1,Michelle Goldberg,NYT,Print,"1,852,674",Very Liberal,1,Exact app match,Michelle Goldberg,
105,1,Steven Crowder,RUMBLE,Podcast,"1,826,998",Very Conservative,1,Exact app match,Steven Crowder,
106,1,Jen Psaki,MS NOW,Cable TV,"1,801,322",Very Liberal,1,Exact app match,Jen Psaki,
107,1,Jane Pauley,CBS,Broadcast TV,"1,775,646",Conservative,1,Exact app match,Jane Pauley,
108,1,Allie Beth Stuckey,BLAZE,Podcast,"1,749,971",Very Conservative,1,Exact app match,Allie Beth Stuckey,
109,1,Matt Taibbi,RACKET NEWS,Print,"1,724,295",Conservative,1,Exact app match,Matt Taibbi,
110,,Astead Herndon,NYT,Podcast,"1,698,619",Liberal,,Not in app,,
111,,Pamela Brown,CNN,Cable TV,"1,672,943",Liberal,,Not in app,,
112,1,Vivek Ramaswamy,YOUTUBE,Podcast,"1,647,267",Very Conservative,1,Exact app match,Vivek Ramaswamy,
113,1,Dan Bongino,RUMBLE,Podcast,"1,621,591",Very Conservative,1,Exact app match,Dan Bongino,
114,,Geoff Bennett,PBS,Broadcast TV,"1,595,916",Liberal,,Not in app,,
115,1,Alyssa Farah,The View,Broadcast TV,"1,570,240",,1,Exact app match,Alyssa Farah,
116,,Kate Bolduan,CNN,Cable TV,"1,544,564",Very Liberal,,Not in app,,
117,,Michael Barbaro,NYT,Podcast,"1,518,888",Liberal,,Not in app,,
118,,Savannah Guthrie,NBC,Broadcast TV,"1,493,212",Liberal,,Not in app,,
119,1,Joy Behar,The View,Broadcast TV,"1,236,454",Very Liberal,1,Exact app match,Joy Behar,
120,1,Patrick Bet-David,VALUETAINMENT,Podcast,"1,441,861",Conservative,1,Exact app match,Patrick Bet-David,
121,1,Tucker Carlson,TCN,Podcast,"1,416,185",Very Conservative,1,Exact app match,Tucker Carlson,
122,1,Reihan Salam,FREE PRESS,Print,"1,390,509",Conservative,1,Exact app match,Reihan Salam,
123,1,Alex Thompson,AXIOS,Print,"1,364,833",Conservative,1,Exact app match,Alex Thompson,
124,1,Katie Pavlich,NEWSNATION,Cable TV,"1,339,157",Very Conservative,1,Exact app match,Katie Pavlich,
125,,Natalie Kitroeff,NYT,Podcast,"1,313,482",Liberal,,Not in app,,
126,,Steve Kornacki,MS NOW,Cable TV,"1,287,806",Liberal,,Not in app,,
127,,Coleman Hughes,THE FREE PRESS,Podcast,"1,904,026",Conservative,,Not in app,,
128,1,Whoopi Goldberg,The View,Broadcast TV,"1,236,454",Very Liberal,1,Exact app match,Whoopi Goldberg,
130,1,Jamelle Bouie,NYT,Print,"1,185,102",Very Liberal,1,Exact app match,Jamelle Bouie,
131,1,Jon Stewart,SPOTIFY,Podcast,"1,159,427",Very Liberal,1,Exact app match,Jon Stewart,
132,1,Jonah Goldberg,THE DISPATCH,Podcast,"1,133,751",Conservative,1,Exact app match,Jonah Goldberg,
133,,Michael Shellenberger,PUBLIC,Print,"1,108,075",Liberal,,Not in app,,
134,1,Tim Pool,TIMCAST,Podcast,"1,082,399",Conservative,1,Exact app match,Tim Pool,
135,1,Dasha Burns,POLITICO,Print,"1,056,723",Very Liberal,1,Exact app match,Dasha Burns,
136,1,Brett Cooper,YOUTUBE,Podcast,"1,031,047",Very Conservative,1,Exact app match,Brett Cooper,
137,,Yamiche Alcindor,NBC,Broadcast TV,1005372,Liberal,,Not in app,,
138,1,Hasan Piker,TWITCH,Podcast,"979,696",Very Liberal,1,Exact app match,Hasan Piker,
139,,Brianna Keilar,CNN,Cable TV,"954,020",Very Liberal,,Not in app,,
140,1,Rob Schmitt,Newsmax cable host,Cable TV,"928,344",Very Conservative,1,Exact app match,Rob Schmitt,
141,1,Theo Von,YOUTUBE,Podcast,"902,668",Conservative,1,Exact app match,Theo Von,
142,1,Glenn Greenwald,INDEPENDENT,Digital Video,,Conservative,1,Exact app match,Glenn Greenwald,
143,,Michel Martin,NPR,Radio,"851,317",Liberal,,Not in app,,
144,,Shankar Vedantam,NPR,Podcast,"825,641",Liberal,,Not in app,,
