Rank,Person,Affiliation,Primary Medium
78,Sam Harris,YOUTUBE,Podcast / Social
79,Chris Wallace,CNN,Cable TV
80,Ana Kasparian,TYT,Digital Video
81,Chris Hayes,MS NOW,Cable TV
82,Cenk Uygur,TYT,Digital Video
83,Abby Phillip,CNN,Cable TV
84,Amna Nawaz,PBS,Broadcast TV
85,Maria Bartiromo,FOX,Cable TV
86,Lawrence O'Donnell,MS NOW,Cable TV
87,Neil Cavuto,FOX,Cable TV
88,Erin Burnett,CNN,Cable TV
89,Mehdi Hasan,ZETEO,Digital Video
90,Joe Scarborough,MS NOW,Cable TV
91,Mika Brzezinski,MS NOW,Cable TV
92,Dan Bongino,RUMBLE,Podcast / Social
93,John Berman,CNN,Cable TV
94,Rachel Maddow,MS NOW,Cable TV
95,Sarah Isgur,The Dispatch,
96,Laura Ingle,NEWSNATION,Cable TV
97,David French,NYT,
98,Benny Johnson,YOUTUBE,Podcast / Social
99,Fareed Zakaria,CNN,
100,Jonathan Karl,ABC,Broadcast TV
101,Markie Martin,NEWSNATION,Cable TV
102,Coleman Hughes,,
103,Victor Blackwell,CNN,Cable TV
104,Michelle Goldberg,NYT,
105,Steven Crowder,RUMBLE,Podcast / Social
106,Jen Psaki,MS NOW,Cable TV
107,Jane Pauley,CBS,
108,Allie Beth Stuckey,BLAZE,Podcast / Social
109,Matt Taibbi,RACKET,Print / Digital
110,Astead Herndon,NYT,Podcast / Digital
111,Pamela Brown,CNN,Cable TV
112,Vivek Ramaswamy,YOUTUBE,Podcast / Social
113,Kayleigh McEnany,FOX,Cable TV
114,Geoff Bennett,PBS,Broadcast TV
115,Shankar Vedantam,NPR,
116,Brianna Keilar,CNN,Cable TV
117,Michael Barbaro,NYT,Podcast / Digital
118,Savannah Guthrie,NBC,Broadcast TV
119,Ayman Mohyeldin,MS NOW,Cable TV
120,Patrick Bet-David,VALUETAINMENT,Podcast / YouTube
121,Tucker Carlson,TCN,Podcast / Social
122,Reihan Salam,FREE PRESS,Print / Digital
123,Alex Thompson,AXIOS,Print / Digital
124,Marni Hughes,NEWSNATION,Cable TV
125,Natalie Kitroeff,NYT,
126,Steve Kornacki,MS NOW,Cable TV
127,Nicolle Wallace,MS NOW,Cable TV
128,Kate Bolduan,CNN,Cable TV
129,Yamiche Alcindor,NBC,Broadcast TV
130,Jamelle Bouie,NYT,Print / Digital
131,Jon Stewart,SPOTIFY,Podcast / YouTube
132,Jonah Goldberg,,
133,Michael Shellenberger,,
134,Tim Pool,,
135,Dasha Burns,POLITICO,Print / Digital
136,Brett Cooper,,
137,Emily Jashinsky,,
138,Hasan Piker,TWITCH,Podcast / Digital
139,Jonathan Martin,POLITICO,Print / Digital
140,Rob Schmitt,Newsmax cable host,
141,Theo Von,YOUTUBE,
142,Glenn Greenwald,INDEPENDENT,
143,Michel Martin,NPR,
144,Jon Favreau,CROOKED MEDIA,
145,Nellie Bowles,,
146,Jon Lovett,Podcast,
147,Glenn Loury,,
148,Sarah Longwell,,
149,Glenn Beck,BLAZE,Radio
150,Eugene Daniels,POLITICO,Print / Digital
